case_id,question,sql,tables,columns,join_edges,review_status,difficulty,category,notes
fin_gold_001,What is total payment volume by rail type for successful payments?,"SELECT pa.rail_type, SUM(p.amount) AS tpv FROM payments p JOIN payment_attributes pa ON p.rail_ref = pa.rail_ref WHERE p.payment_status = 'SUCCESS' GROUP BY pa.rail_type ORDER BY tpv DESC","payments;payment_attributes","payments.amount;payments.payment_status;payments.rail_ref;payment_attributes.rail_ref;payment_attributes.rail_type","payments.rail_ref = payment_attributes.rail_ref",approved,easy,tpv,TPV uses successful payment amount only.
fin_gold_002,What is payment success rate for UPI payments since 2026-01-01?,"SELECT pa.rail_type, SUM(CASE WHEN p.payment_status = 'SUCCESS' THEN 1 ELSE 0 END)::DOUBLE / COUNT(*) AS psr, COUNT(*) AS attempts FROM payments p JOIN payment_attributes pa ON p.rail_ref = pa.rail_ref WHERE pa.rail_type = 'UPI' AND p.payment_time >= '2026-01-01' GROUP BY pa.rail_type","payments;payment_attributes","payments.payment_status;payments.payment_time;payments.rail_ref;payment_attributes.rail_ref;payment_attributes.rail_type","payments.rail_ref = payment_attributes.rail_ref",approved,easy,psr,PSR denominator includes all payment attempts.
fin_gold_003,Show monthly successful TPV by rail type from 2026-01-01 to 2026-06-01.,"SELECT DATE_TRUNC('month', p.payment_time) AS month, pa.rail_type, SUM(p.amount) AS tpv FROM payments p JOIN payment_attributes pa ON p.rail_ref = pa.rail_ref WHERE p.payment_status = 'SUCCESS' AND p.payment_time >= '2026-01-01' AND p.payment_time < '2026-06-01' GROUP BY month, pa.rail_type ORDER BY month, pa.rail_type","payments;payment_attributes","payments.amount;payments.payment_status;payments.payment_time;payments.rail_ref;payment_attributes.rail_ref;payment_attributes.rail_type","payments.rail_ref = payment_attributes.rail_ref",approved,medium,tpv,Use payment_time for payment reporting windows.
fin_gold_004,Count orders and successful payments for the subscriptions product area from 2026-03-01 to 2026-04-01.,"SELECT o.product_area, COUNT(DISTINCT o.order_ref) AS orders_created, COUNT(DISTINCT CASE WHEN p.payment_status = 'SUCCESS' THEN p.payment_ref END) AS successful_payments FROM orders o LEFT JOIN payments p ON o.order_ref = p.order_ref WHERE o.product_area = 'subscriptions' AND o.order_time >= '2026-03-01' AND o.order_time < '2026-04-01' GROUP BY o.product_area","orders;payments","orders.order_ref;orders.order_time;orders.product_area;payments.order_ref;payments.payment_ref;payments.payment_status","orders.order_ref = payments.order_ref",approved,medium,funnel,Use LEFT JOIN when counting created orders and payment attempts.
fin_gold_005,Show TPV by checkout surface and authentication mode for verified high-risk users in Maharashtra since 2026-01-01.,"SELECT o.checkout_surface, pa.authentication_mode, SUM(p.amount) AS tpv FROM payments p JOIN orders o ON p.order_ref = o.order_ref JOIN payment_attributes pa ON p.rail_ref = pa.rail_ref JOIN user_attributes ua ON p.user_ref = ua.user_ref WHERE p.payment_status = 'SUCCESS' AND p.payment_time >= '2026-01-01' AND ua.kyc_status = 'verified' AND ua.risk_band = 'high' AND ua.state = 'Maharashtra' GROUP BY o.checkout_surface, pa.authentication_mode ORDER BY tpv DESC","payments;orders;payment_attributes;user_attributes","payments.amount;payments.payment_status;payments.payment_time;payments.order_ref;payments.rail_ref;payments.user_ref;orders.order_ref;orders.checkout_surface;payment_attributes.rail_ref;payment_attributes.authentication_mode;user_attributes.user_ref;user_attributes.kyc_status;user_attributes.risk_band;user_attributes.state","payments.order_ref = orders.order_ref;payments.rail_ref = payment_attributes.rail_ref;payments.user_ref = user_attributes.user_ref",approved,hard,tpv,Distinguish user risk from payment rail risk.
fin_gold_006,Show successful TPV and attempts by rail type and user risk band for payments since 2026-02-01.,"SELECT pa.rail_type, ua.risk_band, SUM(CASE WHEN p.payment_status = 'SUCCESS' THEN p.amount ELSE 0 END) AS successful_tpv, COUNT(*) AS attempts FROM payments p JOIN payment_attributes pa ON p.rail_ref = pa.rail_ref JOIN user_attributes ua ON p.user_ref = ua.user_ref WHERE p.payment_time >= '2026-02-01' GROUP BY pa.rail_type, ua.risk_band ORDER BY pa.rail_type, ua.risk_band","payments;payment_attributes;user_attributes","payments.amount;payments.payment_status;payments.payment_time;payments.rail_ref;payments.user_ref;payment_attributes.rail_ref;payment_attributes.rail_type;user_attributes.user_ref;user_attributes.risk_band","payments.rail_ref = payment_attributes.rail_ref;payments.user_ref = user_attributes.user_ref",approved,medium,tpv,Attempts include every payment status.
fin_gold_007,How many active users are there by platform plan and gender since 2026-01-01?,"SELECT u.platform_plan, ua.gender, COUNT(DISTINCT p.user_ref) AS active_users FROM payments p JOIN users u ON p.user_ref = u.user_ref JOIN user_attributes ua ON p.user_ref = ua.user_ref WHERE p.payment_status = 'SUCCESS' AND p.payment_time >= '2026-01-01' GROUP BY u.platform_plan, ua.gender ORDER BY active_users DESC","payments;users;user_attributes","payments.user_ref;payments.payment_status;payments.payment_time;users.user_ref;users.platform_plan;user_attributes.user_ref;user_attributes.gender","payments.user_ref = users.user_ref;payments.user_ref = user_attributes.user_ref",approved,medium,active_users,Active user means at least one successful payment in the period.
fin_gold_008,Which states have the highest failed payment attempts for active accounts since 2026-01-01?,"SELECT ua.state, COUNT(*) AS failed_attempts FROM payments p JOIN users u ON p.user_ref = u.user_ref JOIN user_attributes ua ON p.user_ref = ua.user_ref WHERE p.payment_status = 'FAILED' AND p.payment_time >= '2026-01-01' AND u.account_state = 'active' GROUP BY ua.state ORDER BY failed_attempts DESC","payments;users;user_attributes","payments.payment_status;payments.payment_time;payments.user_ref;users.user_ref;users.account_state;user_attributes.user_ref;user_attributes.state","payments.user_ref = users.user_ref;payments.user_ref = user_attributes.user_ref",approved,medium,failures,Account active is users.account_state.
fin_gold_009,Compare TPV and payment success rate across checkout surfaces for mobile_sdk and web since 2026-01-01.,"SELECT o.checkout_surface, SUM(CASE WHEN p.payment_status = 'SUCCESS' THEN p.amount ELSE 0 END) AS tpv, SUM(CASE WHEN p.payment_status = 'SUCCESS' THEN 1 ELSE 0 END)::DOUBLE / COUNT(*) AS psr, COUNT(*) AS attempts FROM orders o JOIN payments p ON o.order_ref = p.order_ref WHERE o.checkout_surface IN ('mobile_sdk', 'web') AND p.payment_time >= '2026-01-01' GROUP BY o.checkout_surface ORDER BY o.checkout_surface","orders;payments","orders.order_ref;orders.checkout_surface;payments.order_ref;payments.amount;payments.payment_status;payments.payment_time","orders.order_ref = payments.order_ref",approved,medium,checkout,PSR denominator must include all attempts.
fin_gold_010,"For low-risk payment rails, show TPV by issuer and route partner for successful payments since 2026-01-01.","SELECT pa.issuer_name, pa.route_partner, SUM(p.amount) AS tpv FROM payments p JOIN payment_attributes pa ON p.rail_ref = pa.rail_ref WHERE p.payment_status = 'SUCCESS' AND pa.risk_band = 'low' AND p.payment_time >= '2026-01-01' GROUP BY pa.issuer_name, pa.route_partner ORDER BY tpv DESC","payments;payment_attributes","payments.amount;payments.payment_status;payments.payment_time;payments.rail_ref;payment_attributes.rail_ref;payment_attributes.risk_band;payment_attributes.issuer_name;payment_attributes.route_partner","payments.rail_ref = payment_attributes.rail_ref",approved,hard,confounder,Low-risk payment rails means payment_attributes.risk_band.
fin_gold_011,"For low-risk users, show TPV by issuer and route partner for successful payments since 2026-01-01.","SELECT pa.issuer_name, pa.route_partner, SUM(p.amount) AS tpv FROM payments p JOIN payment_attributes pa ON p.rail_ref = pa.rail_ref JOIN user_attributes ua ON p.user_ref = ua.user_ref WHERE p.payment_status = 'SUCCESS' AND ua.risk_band = 'low' AND p.payment_time >= '2026-01-01' GROUP BY pa.issuer_name, pa.route_partner ORDER BY tpv DESC","payments;payment_attributes;user_attributes","payments.amount;payments.payment_status;payments.payment_time;payments.rail_ref;payments.user_ref;payment_attributes.rail_ref;payment_attributes.issuer_name;payment_attributes.route_partner;user_attributes.user_ref;user_attributes.risk_band","payments.rail_ref = payment_attributes.rail_ref;payments.user_ref = user_attributes.user_ref",approved,hard,confounder,Low-risk users means user_attributes.risk_band.
fin_gold_012,Show conversion from paid orders to successful payments by checkout surface and product area since 2026-01-01.,"SELECT o.checkout_surface, o.product_area, COUNT(DISTINCT o.order_ref) AS paid_orders, COUNT(DISTINCT CASE WHEN p.payment_status = 'SUCCESS' THEN o.order_ref END) AS orders_with_successful_payment FROM orders o LEFT JOIN payments p ON o.order_ref = p.order_ref WHERE o.order_state = 'paid' AND o.order_time >= '2026-01-01' GROUP BY o.checkout_surface, o.product_area ORDER BY o.checkout_surface, o.product_area","orders;payments","orders.order_ref;orders.order_state;orders.order_time;orders.checkout_surface;orders.product_area;payments.order_ref;payments.payment_status","orders.order_ref = payments.order_ref",approved,hard,conversion,Use order_state for paid order cohort and payment_status for payment success.
fin_gold_013,Which acquisition channels drove the most successful TPV among active enterprise merchants since 2026-01-01?,"SELECT u.acquisition_channel, SUM(p.amount) AS successful_tpv FROM payments p JOIN users u ON p.user_ref = u.user_ref WHERE p.payment_status = 'SUCCESS' AND p.payment_time >= '2026-01-01' AND u.account_state = 'active' AND u.merchant_type = 'enterprise' GROUP BY u.acquisition_channel ORDER BY successful_tpv DESC","payments;users","payments.amount;payments.payment_status;payments.payment_time;payments.user_ref;users.user_ref;users.acquisition_channel;users.account_state;users.merchant_type","payments.user_ref = users.user_ref",approved,medium,tpv,Merchant/account attributes come from users.
fin_gold_014,Show refunded payment amount by rail type and settlement speed since 2026-01-01.,"SELECT pa.rail_type, pa.settlement_speed, SUM(p.amount) AS refunded_amount FROM payments p JOIN payment_attributes pa ON p.rail_ref = pa.rail_ref WHERE p.payment_status = 'REFUNDED' AND p.payment_time >= '2026-01-01' GROUP BY pa.rail_type, pa.settlement_speed ORDER BY refunded_amount DESC","payments;payment_attributes","payments.amount;payments.payment_status;payments.payment_time;payments.rail_ref;payment_attributes.rail_ref;payment_attributes.rail_type;payment_attributes.settlement_speed","payments.rail_ref = payment_attributes.rail_ref",approved,medium,refunds,Refunded amount uses payment_status REFUNDED.
fin_gold_015,"Among verified users in Karnataka, compare PSR by authentication mode and checkout surface since 2026-01-01.","SELECT pa.authentication_mode, o.checkout_surface, SUM(CASE WHEN p.payment_status = 'SUCCESS' THEN 1 ELSE 0 END)::DOUBLE / COUNT(*) AS psr, COUNT(*) AS attempts FROM payments p JOIN payment_attributes pa ON p.rail_ref = pa.rail_ref JOIN orders o ON p.order_ref = o.order_ref JOIN user_attributes ua ON p.user_ref = ua.user_ref WHERE p.payment_time >= '2026-01-01' AND ua.kyc_status = 'verified' AND ua.state = 'Karnataka' GROUP BY pa.authentication_mode, o.checkout_surface ORDER BY pa.authentication_mode, o.checkout_surface","payments;payment_attributes;orders;user_attributes","payments.payment_status;payments.payment_time;payments.rail_ref;payments.order_ref;payments.user_ref;payment_attributes.rail_ref;payment_attributes.authentication_mode;orders.order_ref;orders.checkout_surface;user_attributes.user_ref;user_attributes.kyc_status;user_attributes.state","payments.rail_ref = payment_attributes.rail_ref;payments.order_ref = orders.order_ref;payments.user_ref = user_attributes.user_ref",approved,hard,psr,Do not pre-filter to SUCCESS for PSR.
fin_gold_016,Show average order amount versus average successful payment amount by product area since 2026-01-01.,"SELECT o.product_area, AVG(o.order_amount) AS avg_order_amount, AVG(CASE WHEN p.payment_status = 'SUCCESS' THEN p.amount END) AS avg_successful_payment_amount FROM orders o LEFT JOIN payments p ON o.order_ref = p.order_ref WHERE o.order_time >= '2026-01-01' GROUP BY o.product_area ORDER BY o.product_area","orders;payments","orders.order_ref;orders.order_amount;orders.order_time;orders.product_area;payments.order_ref;payments.amount;payments.payment_status","orders.order_ref = payments.order_ref",approved,medium,amounts,Order amount and payment amount are distinct measures.
