case,schema,capability,verdict,steps,tokens,elapsed_s,answer_len,answer_preview
R1,retail_complex,state-count,PASS,8,85629,102.2,652,"The top 5 US states by customer count (based on each customer's current mailing address) are:  1. TX (Texas) — 7,799 customers 2. GA (Georgia) — 4,955 3. VA (Virginia) — 4,330 4. KY (Kentucky) — 3,849"
R2,retail_complex,cross-channel-revenue,PASS,7,86771,79.8,375,"Total gross revenue across store, online, and mail order channels is $21,512,036,050.57.  Breakdown by channel: - Store: $10,525,297,512.40 - Online: $3,674,577,993.84 - Mail order: $7,312,160,544.33 "
R3,retail_complex,blessed-metric-ctr,PASS,9,80025,81.0,936,"The marketing channel with the best click-through rate is **social**, with a CTR of **5.38%** (0.0538), computed as total clicks / total impressions across all touchpoints. Ranking (desc): social 5.38"
R4,retail_complex,refund-rate,PASS,8,130236,140.8,1033,"Top 5 product categories by return rate (returned units ÷ sold units, all channels combined):  1. Shoes — 5.12% (1,295,419 returned / 25,317,772 sold) 2. Electronics — 5.11% (1,269,246 / 24,841,742) 3"
R5,retail_complex,nested-array,PASS,14,130065,89.4,766,"3,711 products currently have at least one variant that is out of stock.  This counts distinct current merchandise records (record_effective_end IS NULL) that have ANY variant whose in_stock flag is F"
R6a,retail_complex,continuity-turn1,PASS,18,295610,212.1,768,"Online net revenue by traffic source, top 5 (revenue minus refunds):  1. meta — $313,664,610.12 2. tiktok — $313,478,211.81 3. google — $312,947,076.80 4. direct — $312,343,531.93 5. email — $309,727,"
R6b,retail_complex,continuity-turn2,PASS,11,149947,170.9,1193,"For the top traffic source (meta), net revenue (revenue minus refunds) broken down by the device browser of the purchasing session:  1. Chrome — $80,247,409.24 (revenue $84,808,885.70, refunds $4,561,"
F1,fintech_complex,payment-failure-rate,PASS,6,63743,64.2,877,"The payment rail type with the highest failure rate is **DC (debit card)**, at **16.1%** (348 failed out of 2,161 attempts).  Full ranking by failure rate (share of attempts on that rail type ending i"
F2,fintech_complex,cross-tab,PASS,8,134662,179.2,2908,"**Which payment methods fail most often (by failure rate = FAILED attempts / total attempts):**  Ranked highest → lowest failure rate (r1): 1. **DC (Debit Card)** — 16.10% (348 of 2,161 attempts) 2. *"
F3,fintech_complex,nested-drill,PASS,8,91745,120.8,483,"For debit-card payments (rail_type = 'DC'), merchant types ranked from WORST to BEST success rate (success = payment_status = 'SUCCESS'):  1. **platform** — 72.85% (322 successes / 442 attempts) ← wor"
