id,query,expected_route_family,expected_behavior
FIN_UAT001,What is total payment volume by rail type for successful payments?,pattern_assisted,Reuse TPV-by-rail pattern; preserve SUCCESS filter; dry-run and execute.
FIN_UAT002,What is payment success rate for UPI payments since 2026-01-01?,pattern_assisted,Reuse PSR-by-rail pattern; bind UPI and date slot; validate payment_status success numerator.
FIN_UAT003,Show monthly successful TPV by rail type from 2026-01-01 to 2026-06-01.,pattern_assisted,Reuse monthly TPV pattern; use payment_time date scope; group by month and rail_type.
FIN_UAT004,Count orders and successful payments for the subscriptions product area from 2026-03-01 to 2026-04-01.,pattern_assisted,Reuse order-to-payment funnel pattern; preserve LEFT JOIN if counting created orders and attempts.
FIN_UAT005,Show TPV by checkout surface and authentication mode for verified high-risk users in Maharashtra since 2026-01-01.,pattern_assisted,Reuse five-table payment success pattern; distinguish user risk from rail risk; validate state and KYC values.
FIN_UAT006,Show successful TPV and attempts by rail type and user risk band for payments since 2026-02-01.,pattern_assisted,Reuse rail plus user-risk pattern; preserve SUCCESS amount logic and attempts count.
FIN_UAT007,How many active users are there by platform plan and gender since 2026-01-01?,pattern_assisted_or_clarification,Active user is business-defined; should use learned definition if available or clarify before SQL.
FIN_UAT008,Which states have the highest failed payment attempts for active accounts since 2026-01-01?,pattern_assisted,Use payments plus users/user_attributes; validate account_state active and FAILED status values.
FIN_UAT009,Compare TPV and payment success rate across checkout surfaces for mobile_sdk and web since 2026-01-01.,pattern_assisted,Use orders-payments join; filter checkout_surface values; calculate TPV and PSR consistently.
FIN_UAT010,For low-risk payment rails, show TPV by issuer and route partner for successful payments since 2026-01-01.,cold_start,Use payment_attributes.risk_band not user_attributes.risk_band; validate rail risk scope and route_partner/issuer columns.
FIN_UAT011,For low-risk users, show TPV by issuer and route partner for successful payments since 2026-01-01.,cold_start,Use user_attributes.risk_band not payment_attributes.risk_band; validate confounding risk_band scope.
FIN_UAT012,Show conversion from paid orders to successful payments by checkout surface and product area since 2026-01-01.,cold_start,Clarify or carefully map order_state paid versus payment_status SUCCESS; validate grain and denominator.
FIN_UAT013,Which acquisition channels drove the most successful TPV among active enterprise merchants since 2026-01-01?,pattern_assisted,Use users acquisition_channel merchant_type account_state plus payments; validate active account meaning.
FIN_UAT014,Show refunded payment amount by rail type and settlement speed since 2026-01-01.,cold_start,Use payment_status REFUNDED and payment_attributes settlement_speed; do not use SUCCESS TPV template unchanged.
FIN_UAT015,Among verified users in Karnataka, compare PSR by authentication mode and checkout surface since 2026-01-01.,pattern_assisted,Reuse checkout/auth pattern; validate state and KYC values; group by auth and checkout surface.
FIN_UAT016,Show average order amount versus average successful payment amount by product area since 2026-01-01.,cold_start,Use orders.order_amount and payments.amount distinctly; validate amount semantic difference.
FIN_UAT017,Which cities have the highest number of failed UPI payment attempts since 2026-01-01?,pattern_assisted,Use user_attributes.city with payment rail UPI and FAILED status; validate city dimension.
FIN_UAT018,For startup merchants on the starter plan, show monthly successful TPV and distinct active users since 2026-01-01.,pattern_assisted,Use users merchant_type and platform_plan; define active users from successful payments in period.
FIN_UAT019,Compare payment success rate for OTP or 3DS authentication across credit and debit card rails since 2026-01-01.,cold_start,Validate authentication_mode value and rail_type values CC/DC; compute PSR by rail_type.
FIN_UAT020,Find users in Gujarat who had successful payments in May 2026 but no successful payments in April 2026, split by risk band and KYC status.,cold_start,Negative cohort should trigger careful date/action scope; use same SUCCESS payment action for both months.
