case_id,category,difficulty,nl_query,sql,tables_used,columns_used,join_edges,expected_ambiguities,source_template,template_variant,notes
gold_001,customer,easy,Count current F customers from TX whose first sale year is 2001.,"
        SELECT cp.gender, a.state, cd.year, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN client_profiles cp ON c.current_client_profile_ref = cp.client_profile_record
        JOIN addresses a ON c.current_address_ref = a.address_record
        JOIN calendar_days cd ON c.first_sale_calendar_day_ref = cd.calendar_day_record
        WHERE cp.gender = 'F' AND a.state = 'TX' AND cd.year = 2001
        GROUP BY cp.gender, a.state, cd.year
        ",addresses;calendar_days;client_profiles;clients,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;client_profiles.client_profile_record;client_profiles.gender;clients.client_record;clients.current_address_ref;clients.current_client_profile_ref;clients.first_sale_calendar_day_ref,addresses.address_record = clients.current_address_ref;calendar_days.calendar_day_record = clients.first_sale_calendar_day_ref;client_profiles.client_profile_record = clients.current_client_profile_ref,,current_customer_profile,1,Current customer profile and geography.
gold_002,customer,easy,Count current F customers from TX whose first sale year is 2002.,"
        SELECT cp.gender, a.state, cd.year, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN client_profiles cp ON c.current_client_profile_ref = cp.client_profile_record
        JOIN addresses a ON c.current_address_ref = a.address_record
        JOIN calendar_days cd ON c.first_sale_calendar_day_ref = cd.calendar_day_record
        WHERE cp.gender = 'F' AND a.state = 'TX' AND cd.year = 2002
        GROUP BY cp.gender, a.state, cd.year
        ",addresses;calendar_days;client_profiles;clients,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;client_profiles.client_profile_record;client_profiles.gender;clients.client_record;clients.current_address_ref;clients.current_client_profile_ref;clients.first_sale_calendar_day_ref,addresses.address_record = clients.current_address_ref;calendar_days.calendar_day_record = clients.first_sale_calendar_day_ref;client_profiles.client_profile_record = clients.current_client_profile_ref,,current_customer_profile,2,Current customer profile and geography.
gold_003,customer,easy,Count current F customers from TX whose first sale year is 2003.,"
        SELECT cp.gender, a.state, cd.year, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN client_profiles cp ON c.current_client_profile_ref = cp.client_profile_record
        JOIN addresses a ON c.current_address_ref = a.address_record
        JOIN calendar_days cd ON c.first_sale_calendar_day_ref = cd.calendar_day_record
        WHERE cp.gender = 'F' AND a.state = 'TX' AND cd.year = 2003
        GROUP BY cp.gender, a.state, cd.year
        ",addresses;calendar_days;client_profiles;clients,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;client_profiles.client_profile_record;client_profiles.gender;clients.client_record;clients.current_address_ref;clients.current_client_profile_ref;clients.first_sale_calendar_day_ref,addresses.address_record = clients.current_address_ref;calendar_days.calendar_day_record = clients.first_sale_calendar_day_ref;client_profiles.client_profile_record = clients.current_client_profile_ref,,current_customer_profile,3,Current customer profile and geography.
gold_004,customer,easy,Count current F customers from TX whose first sale year is 2004.,"
        SELECT cp.gender, a.state, cd.year, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN client_profiles cp ON c.current_client_profile_ref = cp.client_profile_record
        JOIN addresses a ON c.current_address_ref = a.address_record
        JOIN calendar_days cd ON c.first_sale_calendar_day_ref = cd.calendar_day_record
        WHERE cp.gender = 'F' AND a.state = 'TX' AND cd.year = 2004
        GROUP BY cp.gender, a.state, cd.year
        ",addresses;calendar_days;client_profiles;clients,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;client_profiles.client_profile_record;client_profiles.gender;clients.client_record;clients.current_address_ref;clients.current_client_profile_ref;clients.first_sale_calendar_day_ref,addresses.address_record = clients.current_address_ref;calendar_days.calendar_day_record = clients.first_sale_calendar_day_ref;client_profiles.client_profile_record = clients.current_client_profile_ref,,current_customer_profile,4,Current customer profile and geography.
gold_005,customer,medium,Show preferred-customer counts by first sale year for customers born in VANUATU with preferred flag N.,"
        SELECT c.birth_country, c.preferred_client_flag, cd.year, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN calendar_days cd ON c.first_sale_calendar_day_ref = cd.calendar_day_record
        WHERE c.birth_country = 'VANUATU' AND c.preferred_client_flag = 'N'
        GROUP BY c.birth_country, c.preferred_client_flag, cd.year
        ORDER BY cd.year
        ",calendar_days;clients,calendar_days.calendar_day_record;calendar_days.year;clients.birth_country;clients.client_record;clients.first_sale_calendar_day_ref;clients.preferred_client_flag,calendar_days.calendar_day_record = clients.first_sale_calendar_day_ref,,current_customer_lifecycle,1,Customer lifecycle and preferred flag.
gold_006,customer,medium,Show preferred-customer counts by first sale year for customers born in VANUATU with preferred flag N.,"
        SELECT c.birth_country, c.preferred_client_flag, cd.year, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN calendar_days cd ON c.first_sale_calendar_day_ref = cd.calendar_day_record
        WHERE c.birth_country = 'VANUATU' AND c.preferred_client_flag = 'N'
        GROUP BY c.birth_country, c.preferred_client_flag, cd.year
        ORDER BY cd.year
        ",calendar_days;clients,calendar_days.calendar_day_record;calendar_days.year;clients.birth_country;clients.client_record;clients.first_sale_calendar_day_ref;clients.preferred_client_flag,calendar_days.calendar_day_record = clients.first_sale_calendar_day_ref,,current_customer_lifecycle,2,Customer lifecycle and preferred flag.
gold_007,customer,medium,Show preferred-customer counts by first sale year for customers born in VANUATU with preferred flag N.,"
        SELECT c.birth_country, c.preferred_client_flag, cd.year, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN calendar_days cd ON c.first_sale_calendar_day_ref = cd.calendar_day_record
        WHERE c.birth_country = 'VANUATU' AND c.preferred_client_flag = 'N'
        GROUP BY c.birth_country, c.preferred_client_flag, cd.year
        ORDER BY cd.year
        ",calendar_days;clients,calendar_days.calendar_day_record;calendar_days.year;clients.birth_country;clients.client_record;clients.first_sale_calendar_day_ref;clients.preferred_client_flag,calendar_days.calendar_day_record = clients.first_sale_calendar_day_ref,,current_customer_lifecycle,3,Customer lifecycle and preferred flag.
gold_008,customer,medium,Show preferred-customer counts by first sale year for customers born in VANUATU with preferred flag N.,"
        SELECT c.birth_country, c.preferred_client_flag, cd.year, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN calendar_days cd ON c.first_sale_calendar_day_ref = cd.calendar_day_record
        WHERE c.birth_country = 'VANUATU' AND c.preferred_client_flag = 'N'
        GROUP BY c.birth_country, c.preferred_client_flag, cd.year
        ORDER BY cd.year
        ",calendar_days;clients,calendar_days.calendar_day_record;calendar_days.year;clients.birth_country;clients.client_record;clients.first_sale_calendar_day_ref;clients.preferred_client_flag,calendar_days.calendar_day_record = clients.first_sale_calendar_day_ref,,current_customer_lifecycle,4,Customer lifecycle and preferred flag.
gold_009,customer,medium,Profile current customers with 2 yr Degree education and Good credit rating by income band and buy potential 0-500.,"
        SELECT cp.education_status, cp.credit_rating, hp.buy_potential, ir.lower_bound, ir.upper_bound, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN client_profiles cp ON c.current_client_profile_ref = cp.client_profile_record
        JOIN household_profiles hp ON c.current_household_profile_ref = hp.household_profile_record
        JOIN income_ranges ir ON hp.income_range_ref = ir.income_range_record
        WHERE cp.education_status = '2 yr Degree' AND cp.credit_rating = 'Good' AND hp.buy_potential = '0-500'
        GROUP BY cp.education_status, cp.credit_rating, hp.buy_potential, ir.lower_bound, ir.upper_bound
        ",client_profiles;clients;household_profiles;income_ranges,client_profiles.client_profile_record;client_profiles.credit_rating;client_profiles.education_status;clients.client_record;clients.current_client_profile_ref;clients.current_household_profile_ref;household_profiles.buy_potential;household_profiles.household_profile_record;household_profiles.income_range_ref;income_ranges.income_range_record;income_ranges.lower_bound;income_ranges.upper_bound,client_profiles.client_profile_record = clients.current_client_profile_ref;clients.current_household_profile_ref = household_profiles.household_profile_record;household_profiles.income_range_ref = income_ranges.income_range_record,,customer_income_profile,1,Current profile plus household income.
gold_010,customer,medium,Profile current customers with 2 yr Degree education and Good credit rating by income band and buy potential 1001-5000.,"
        SELECT cp.education_status, cp.credit_rating, hp.buy_potential, ir.lower_bound, ir.upper_bound, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN client_profiles cp ON c.current_client_profile_ref = cp.client_profile_record
        JOIN household_profiles hp ON c.current_household_profile_ref = hp.household_profile_record
        JOIN income_ranges ir ON hp.income_range_ref = ir.income_range_record
        WHERE cp.education_status = '2 yr Degree' AND cp.credit_rating = 'Good' AND hp.buy_potential = '1001-5000'
        GROUP BY cp.education_status, cp.credit_rating, hp.buy_potential, ir.lower_bound, ir.upper_bound
        ",client_profiles;clients;household_profiles;income_ranges,client_profiles.client_profile_record;client_profiles.credit_rating;client_profiles.education_status;clients.client_record;clients.current_client_profile_ref;clients.current_household_profile_ref;household_profiles.buy_potential;household_profiles.household_profile_record;household_profiles.income_range_ref;income_ranges.income_range_record;income_ranges.lower_bound;income_ranges.upper_bound,client_profiles.client_profile_record = clients.current_client_profile_ref;clients.current_household_profile_ref = household_profiles.household_profile_record;household_profiles.income_range_ref = income_ranges.income_range_record,,customer_income_profile,2,Current profile plus household income.
