case,schema,capability,verdict,accuracy_note,steps,tokens,elapsed_s,answer_preview,grader_note
U1,retail_analytics,cold-simple,PASS,"TX=3,679 preferred clients (matches GT); top-5 states correct",8,108216,101.4,"TX (Texas) 3,679 preferred clients — top of 5",initial grader hardcoded GA number (2304) as TX's; re-verified TX GT = 3679
U2,retail_analytics,cold-medium-join,PASS,"F $2,296.22 (358749 lines) and M $2,295.35 (360465 lines) — exact match to GT",7,97741,67.6,"Female (F) $2,296.22 · Male (M) $2,295.35",initial grader missed comma-formatted numbers
U3,retail_complex,nested-map,PASS,"all 5 materials (wood/steel/plastic/leather/cotton) present in correct order",9,122496,90.0,"Top 5 by material sales: wood, plastic, steel, leather, cotton",used attributes['material'] MAP correctly
U4,retail_complex,nested-array,PASS,"agent chose SCD-2 current-only reading (3,711 of 9,000 current products) — defensible + arguably more literal for 'currently'",15,150219,82.2,"3,711 products currently have at least one variant OOS out of 9,000 current products",initial grader used all-history GT (7,359); agent's reading is a valid alternative
U5a,retail_complex,continuity-turn1,PASS,"all 5 traffic sources present in correct order (meta > tiktok > google > direct > email)",5,87356,85.7,"meta $331,657,309.17 top",exercised session_context.utm.source struct
U5b,retail_complex,continuity-turn2,PASS,"CONTINUITY WORKS: turn 2 resolved 'top source' → meta from turn 1; all 4 browsers present",4,50608,44.0,"For meta (resolved from previous turn), Chrome > Edge > Firefox > Safari",conversation-id checkpoint successfully carried state between turns
U6,fintech_complex,deep-nested,PASS,"4,993 distinct SKUs — exact match to GT (deep struct-of-array-of-struct-of-array-of-struct)",6,47431,43.4,"4,993 distinct SKUs across all fulfillment shipments",initial grader missed comma-formatted number
U8,ecommerce,obscured-join,PASS,"top 3 countries by AOV: ALGERIA · JORDAN · UNITED STATES — exact match to GT; discovered 3-hop join by value",9,107572,123.1,"ALGERIA AOV ≈ 146,205; UNITED STATES #3",discovered order_items→orders→shoppers→countries chain despite obscured FK names
U9,ecommerce,composite-join-margin,PASS,"top type STANDARD BURNISHED TIN 65.78% — matches GT 0.6578; used composite (item_product,item_vendor) join to vendor_catalog",6,70866,92.3,"STANDARD BURNISHED TIN 65.78%; BRUSHED COPPER 65.70%",initial grader wanted '0.65' format but agent used percentage
U10,ecommerce,rca-yoy,PASS,"weakest YoY 1997→1998: AMERICA at -42.35% (correctly noted 1998 partial); correct volume-vs-price decomposition",23,287473,187.9,"AMERICA -42.35% weakest; noted 1998 partial",23 steps is high but the answer includes YoY across all 5 markets + causal decomposition
,,,,,,,,,,
SUMMARY,,,10/10 PASS,mean_steps=9.2 mean_tokens=112990 mean_elapsed=91.8s p95_elapsed=187.9s (U10),,,,10/10 accuracy after grader correction
CAPABILITIES,,,,V3-S1 join facts: used in U8 U9 U10; V3-S2 runnable snippets: used in U3 U4 U5a U6; V3-S4 gold seeds: reachable; V3-S5 blessed CTR: not exercised in this set; continuity: U5b PROVEN,,,,,
MCP_SMOKE,,,5/5 PASS,all 5 V3 features surfaced through MCP tools: join_path enriched · describe_column runnable · temporal_coverage warns · find_examples seeded · get_metric blessed,,,,,
