id,query,expected_route_family,expected_behavior
UAT001,What are the top 10 cities by number of addresses?,exact_replay,Reuse approved executable SQL with no model call; semantic profile; dry-run; execute.
UAT002,How many F online shoppers from CA bought Music in 2002?,slot_adapt,Reuse approved online shopper pattern; probe CA; preserve joins grain category gender year; dry-run; execute; skip context compiler and subagents.
UAT003,How many F online shoppers from CA bought Electronics in 2002?,slot_adapt,Reuse approved online shopper pattern; probe changed state/category values; preserve joins and grain; dry-run; execute.
UAT004,How many M online shoppers from CA bought Music in 2002?,slot_adapt,Reuse approved online shopper pattern; probe changed gender/state if needed; preserve joins and grain; dry-run; execute.
UAT005,How many F online shoppers from CA bought Music in 2003?,slot_adapt,Reuse approved online shopper pattern; adapt year slot only; preserve joins and grain; dry-run; execute.
UAT006,"How many F online shoppers from CA bought Music in 2002, split by marital status?",pattern_assisted,Reuse base purchase pattern but retrieve or validate only marital status delta; steward only if grain or profile scope is uncertain.
UAT007,How many customers from CA bought Music online in 2002 but did not buy Music online in 2001?,pattern_assisted,Negative cohort should not direct-execute from slot adaptation; require steward/semantic assertions before execution.
UAT008,How many active customers from CA bought Music online in 2002?,pattern_assisted_or_clarification,Close purchase pattern may assist retrieval, but undefined business term active should trigger clarification unless approved cognition defines it; no SQL execution before resolution.
UAT009,"For CA customers, compare online Music sales and store Music sales in 2002.",cold_start,Multiple fact tables and channel-specific schemas; full context; steward required; DE optional if SQL shape is complex.
UAT010,"For 2002 store purchases tied to campaigns, show top income bands and warehouses by net sales.",cold_start,Many joins and grain risk; full context; steward required; DE likely for CTE and join-shape review.
UAT011,"For online purchases in 2002, show the top 10 website properties by net paid amount, split by customer gender and product category.",cold_start,Touch online purchases website/date/profile/product; full context; steward validates grain and joins.
UAT012,"For store purchases in 2002, compare campaign-linked sales versus non-campaign sales by store state, product category, and customer income band.",cold_start,Touch store sales campaigns stores products customers households income dates; full context; steward required; DE likely.
UAT013,"Which product categories had online purchases in 2002 but also had positive warehouse stock on the sale date, ranked by net paid amount and distinct customers?",cold_start,Touch online purchases products dates stock warehouses; validate stock-date join and fanout; steward required.
UAT014,"For mail order purchases in 2002, show top customer states by net paid amount, distinct customers, and average delivery cost, split by product category.",cold_start,Touch mail-order purchases addresses products dates delivery; full context; steward validates address role.
UAT015,"Compare store, online, and mail-order Music sales in 2002 by customer state and gender, showing net paid amount and distinct customers for each channel.",cold_start,Multi-fact channel normalization; full context; steward required; DE likely for union and scan shape.
